Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap
2021,Spanish Grand Prix,raikkonen,78.597,96.07784615384615
2021,Spanish Grand Prix,russell,79.005,98.69748717948718
2021,Monaco Grand Prix,ricciardo,72.959,83.85885897435898
2021,Monaco Grand Prix,norris,71.988,84.28316666666667
2021,Monaco Grand Prix,vettel,72.537,84.83237837837838
2021,Monaco Grand Prix,latifi,73.475,85.42110344827587
2021,Monaco Grand Prix,raikkonen,72.298,83.18905128205128
2021,Monaco Grand Prix,mazepin,73.39,86.75875714285715
2021,Monaco Grand Prix,gasly,72.357,84.10264285714285
2021,Monaco Grand Prix,perez,71.817,85.66984507042254
2021,Monaco Grand Prix,alonso,73.175,84.03012
2021,Monaco Grand Prix,leclerc,71.552,87.14387037037038
2021,Monaco Grand Prix,stroll,72.7,85.98963888888889
2021,Monaco Grand Prix,tsunoda,73.522,83.33817808219177
2021,Monaco Grand Prix,ocon,73.199,82.58655844155844
2021,Monaco Grand Prix,max_verstappen,71.294,85.22196153846154
2021,Monaco Grand Prix,hamilton,72.02,84.93091666666666
2021,Monaco Grand Prix,mick_schumacher,73.139,86.71652777777778
2021,Monaco Grand Prix,sainz,71.341,86.8140243902439
2021,Monaco Grand Prix,russell,73.447,83.50623863636363
2021,Monaco Grand Prix,bottas,71.765,83.71041249999999
2021,Monaco Grand Prix,giovinazzi,72.539,82.95998507462687
2021,Azerbaijan Grand Prix,ricciardo,103.298,116.29573076923076
2021,Azerbaijan Grand Prix,norris,103.011,116.93587755102041
2021,Azerbaijan Grand Prix,vettel,103.585,117.36226086956522
2021,Azerbaijan Grand Prix,latifi,104.054,125.09379411764706
2021,Azerbaijan Grand Prix,raikkonen,103.22,120.01036585365854
2021,Azerbaijan Grand Prix,mazepin,105.563,117.85694871794873
2021,Azerbaijan Grand Prix,gasly,102.251,117.56455102040816
2021,Azerbaijan Grand Prix,perez,102.115,117.30733333333333
2021,Azerbaijan Grand Prix,alonso,102.693,116.2904705882353
