Season,Race,DriverID,QualiGridPos,RaceGridPos,RacePosition,Q1_Rank,Q2_Rank,QualiStage
2021,Russian Grand Prix,raikkonen,16.0,13.0,8.0,16.0,,1
2021,Russian Grand Prix,mazepin,19.0,15.0,18.0,19.0,,1
2021,Russian Grand Prix,gasly,12.0,11.0,13.0,6.0,12.0,2
2021,Russian Grand Prix,perez,9.0,8.0,9.0,3.0,5.0,3
2021,Russian Grand Prix,leclerc,15.0,19.0,15.0,14.0,,2
2021,Russian Grand Prix,stroll,8.0,7.0,11.0,12.0,7.0,3
2021,Russian Grand Prix,tsunoda,13.0,12.0,17.0,15.0,13.0,2
2021,Russian Grand Prix,ocon,10.0,9.0,14.0,9.0,6.0,3
2021,Russian Grand Prix,mick_schumacher,17.0,14.0,20.0,17.0,,1
2021,Russian Grand Prix,bottas,7.0,16.0,5.0,2.0,2.0,3
2021,Russian Grand Prix,giovinazzi,18.0,17.0,16.0,18.0,,1
2021,Turkish Grand Prix,ricciardo,16.0,20.0,13.0,16.0,,1
2021,Turkish Grand Prix,norris,8.0,7.0,7.0,7.0,10.0,3
2021,Turkish Grand Prix,vettel,11.0,10.0,18.0,15.0,11.0,2
2021,Turkish Grand Prix,latifi,17.0,15.0,17.0,17.0,,1
2021,Turkish Grand Prix,raikkonen,19.0,17.0,12.0,19.0,,1
2021,Turkish Grand Prix,mazepin,20.0,18.0,20.0,20.0,,1
2021,Turkish Grand Prix,gasly,5.0,4.0,6.0,3.0,4.0,3
2021,Turkish Grand Prix,perez,7.0,6.0,3.0,5.0,6.0,3
2021,Turkish Grand Prix,alonso,6.0,5.0,16.0,8.0,5.0,3
2021,Turkish Grand Prix,leclerc,4.0,3.0,4.0,4.0,7.0,3
2021,Turkish Grand Prix,stroll,9.0,8.0,9.0,13.0,9.0,3
2021,Turkish Grand Prix,tsunoda,10.0,9.0,14.0,10.0,8.0,3
2021,Turkish Grand Prix,max_verstappen,3.0,2.0,2.0,2.0,3.0,3
2021,Turkish Grand Prix,hamilton,1.0,11.0,5.0,1.0,1.0,3
2021,Turkish Grand Prix,sainz,15.0,19.0,8.0,9.0,,2
2021,Turkish Grand Prix,bottas,2.0,1.0,1.0,6.0,2.0,3
2021,Turkish Grand Prix,giovinazzi,18.0,16.0,11.0,18.0,,1
2021,United States Grand Prix,ricciardo,7.0,6.0,5.0,4.0,9.0,3
2021,United States Grand Prix,norris,8.0,7.0,8.0,5.0,3.0,3
2021,United States Grand Prix,vettel,12.0,18.0,10.0,10.0,12.0,2
2021,United States Grand Prix,latifi,17.0,14.0,15.0,17.0,,1
2021,United States Grand Prix,raikkonen,18.0,15.0,13.0,18.0,,1
2021,United States Grand Prix,mazepin,20.0,17.0,17.0,20.0,,1
2021,United States Grand Prix,gasly,9.0,8.0,20.0,7.0,8.0,3
2021,United States Grand Prix,alonso,14.0,19.0,18.0,14.0,14.0,2
2021,United States Grand Prix,leclerc,5.0,4.0,4.0,1.0,4.0,3
2021,United States Grand Prix,stroll,16.0,13.0,12.0,16.0,,1
2021,United States Grand Prix,mick_schumacher,19.0,16.0,16.0,19.0,,1
