Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Spanish Grand Prix,alonso,78.518,90.65785484,78.281,77.966,78.147,10,10,17
2021,Spanish Grand Prix,leclerc,78.308,92.52908621,78.041,77.717,77.51,4,4,4
2021,Spanish Grand Prix,stroll,78.877,94.23352381,78.241,77.974,,11,11,11
2021,Spanish Grand Prix,tsunoda,78.619,95.58835484,78.556,,,16,16,20
2021,Spanish Grand Prix,ocon,78.466,94.05311475,78.281,77.743,77.58,5,5,9
2021,Spanish Grand Prix,max_verstappen,77.835,94.99920833,78.09,76.922,76.777,2,2,2
2021,Spanish Grand Prix,hamilton,78.07,94.43250877,78.245,77.166,76.741,1,1,1
2021,Spanish Grand Prix,,80.7,92.58675,,,,,,
2021,Spanish Grand Prix,mick_schumacher,79.999,96.74656452,79.117,,,18,18,18
2021,Spanish Grand Prix,sainz,78.41,96.8482459,78.205,77.656,77.62,6,6,7
2021,Spanish Grand Prix,bottas,78.309,96.38303279,78.005,77.142,76.873,3,3,3
2021,Spanish Grand Prix,,81.887,97.83655556,,,,,,
2021,Spanish Grand Prix,giovinazzi,79.122,96.4155082,78.549,78.356,,14,14,15
2021,Spanish Grand Prix,raikkonen,78.597,96.07784615,78.917,,,17,17,12
2021,Spanish Grand Prix,russell,79.005,98.69748718,78.445,79.154,,15,15,14
2021,Monaco Grand Prix,ricciardo,72.959,83.85885897,71.747,71.598,,12,12,12
2021,Monaco Grand Prix,norris,71.988,84.28316667,71.321,71.031,70.62,5,5,3
2021,Monaco Grand Prix,vettel,72.537,84.83237838,72.078,71.309,71.419,8,8,5
2021,Monaco Grand Prix,latifi,73.475,85.42110345,72.366,,,18,18,15
2021,Monaco Grand Prix,raikkonen,72.298,83.18905128,71.899,71.642,,14,14,11
2021,Monaco Grand Prix,mazepin,73.39,86.75875714,72.958,,,19,19,17
2021,Monaco Grand Prix,gasly,72.357,84.10264286,71.56,71.179,70.9,6,6,6
2021,Monaco Grand Prix,perez,71.817,85.66984507,71.644,71.019,71.573,9,9,4
2021,Monaco Grand Prix,alonso,73.175,84.03012,72.205,,,17,17,13
2021,Monaco Grand Prix,leclerc,71.552,87.14387037,71.113,70.597,70.346,1,1,20
2021,Monaco Grand Prix,stroll,72.7,85.98963889,71.979,71.6,,13,13,8
2021,Monaco Grand Prix,tsunoda,73.522,83.33817808,72.096,,,16,16,16
2021,Monaco Grand Prix,ocon,73.199,82.58655844,71.74,71.486,,11,11,9
