Season,Race,DriverID,RacePosition
2021,French Grand Prix,ocon,14.0
2021,French Grand Prix,giovinazzi,15.0
2021,French Grand Prix,leclerc,16.0
2021,French Grand Prix,raikkonen,17.0
2021,French Grand Prix,latifi,18.0
2021,French Grand Prix,mick_schumacher,19.0
2021,French Grand Prix,mazepin,20.0
2021,Styrian Grand Prix,max_verstappen,1.0
2021,Styrian Grand Prix,hamilton,2.0
2021,Styrian Grand Prix,bottas,3.0
2021,Styrian Grand Prix,perez,4.0
2021,Styrian Grand Prix,norris,5.0
2021,Styrian Grand Prix,sainz,6.0
2021,Styrian Grand Prix,leclerc,7.0
2021,Styrian Grand Prix,stroll,8.0
2021,Styrian Grand Prix,alonso,9.0
2021,Styrian Grand Prix,tsunoda,10.0
2021,Styrian Grand Prix,raikkonen,11.0
2021,Styrian Grand Prix,vettel,12.0
2021,Styrian Grand Prix,ricciardo,13.0
2021,Styrian Grand Prix,ocon,14.0
2021,Styrian Grand Prix,giovinazzi,15.0
2021,Styrian Grand Prix,mick_schumacher,16.0
2021,Styrian Grand Prix,latifi,17.0
2021,Styrian Grand Prix,mazepin,18.0
2021,Styrian Grand Prix,russell,19.0
2021,Styrian Grand Prix,gasly,20.0
2021,Austrian Grand Prix,max_verstappen,1.0
2021,Austrian Grand Prix,bottas,2.0
2021,Austrian Grand Prix,norris,3.0
2021,Austrian Grand Prix,hamilton,4.0
2021,Austrian Grand Prix,sainz,5.0
2021,Austrian Grand Prix,perez,6.0
2021,Austrian Grand Prix,ricciardo,7.0
2021,Austrian Grand Prix,leclerc,8.0
2021,Austrian Grand Prix,gasly,9.0
2021,Austrian Grand Prix,alonso,10.0
2021,Austrian Grand Prix,russell,11.0
2021,Austrian Grand Prix,tsunoda,12.0
2021,Austrian Grand Prix,stroll,13.0
2021,Austrian Grand Prix,giovinazzi,14.0
2021,Austrian Grand Prix,raikkonen,15.0
2021,Austrian Grand Prix,latifi,16.0
2021,Austrian Grand Prix,vettel,17.0
2021,Austrian Grand Prix,mick_schumacher,18.0
2021,Austrian Grand Prix,mazepin,19.0
2021,Austrian Grand Prix,ocon,20.0
2021,British Grand Prix,hamilton,1.0
2021,British Grand Prix,leclerc,2.0
2021,British Grand Prix,bottas,3.0
2021,British Grand Prix,norris,4.0
2021,British Grand Prix,ricciardo,5.0
2021,British Grand Prix,sainz,6.0
2021,British Grand Prix,alonso,7.0
2021,British Grand Prix,stroll,8.0
2021,British Grand Prix,ocon,9.0
2021,British Grand Prix,tsunoda,10.0
2021,British Grand Prix,gasly,11.0
2021,British Grand Prix,russell,12.0
2021,British Grand Prix,giovinazzi,13.0
2021,British Grand Prix,latifi,14.0
2021,British Grand Prix,raikkonen,15.0
2021,British Grand Prix,perez,16.0
2021,British Grand Prix,mazepin,17.0
2021,British Grand Prix,mick_schumacher,18.0
2021,British Grand Prix,vettel,19.0
2021,British Grand Prix,max_verstappen,20.0
2021,Hungarian Grand Prix,ocon,1.0
2021,Hungarian Grand Prix,hamilton,2.0
2021,Hungarian Grand Prix,sainz,3.0
2021,Hungarian Grand Prix,alonso,4.0
2021,Hungarian Grand Prix,gasly,5.0
2021,Hungarian Grand Prix,tsunoda,6.0
2021,Hungarian Grand Prix,latifi,7.0
2021,Hungarian Grand Prix,russell,8.0
2021,Hungarian Grand Prix,max_verstappen,9.0
2021,Hungarian Grand Prix,raikkonen,10.0
2021,Hungarian Grand Prix,ricciardo,11.0
2021,Hungarian Grand Prix,mick_schumacher,12.0
2021,Hungarian Grand Prix,giovinazzi,13.0
2021,Hungarian Grand Prix,mazepin,14.0
2021,Hungarian Grand Prix,norris,15.0
2021,Hungarian Grand Prix,bottas,16.0
2021,Hungarian Grand Prix,perez,17.0
2021,Hungarian Grand Prix,leclerc,18.0
2021,Hungarian Grand Prix,stroll,19.0
2021,Hungarian Grand Prix,vettel,20.0
2021,Belgian Grand Prix,max_verstappen,1.0
2021,Belgian Grand Prix,russell,2.0
2021,Belgian Grand Prix,hamilton,3.0
2021,Belgian Grand Prix,ricciardo,4.0
2021,Belgian Grand Prix,vettel,5.0
2021,Belgian Grand Prix,gasly,6.0
2021,Belgian Grand Prix,ocon,7.0
2021,Belgian Grand Prix,leclerc,8.0
2021,Belgian Grand Prix,latifi,9.0
2021,Belgian Grand Prix,sainz,10.0
2021,Belgian Grand Prix,alonso,11.0
2021,Belgian Grand Prix,bottas,12.0
2021,Belgian Grand Prix,giovinazzi,13.0
2021,Belgian Grand Prix,norris,14.0
2021,Belgian Grand Prix,tsunoda,15.0
2021,Belgian Grand Prix,mick_schumacher,16.0
2021,Belgian Grand Prix,mazepin,17.0
2021,Belgian Grand Prix,raikkonen,18.0
2021,Belgian Grand Prix,perez,19.0
2021,Belgian Grand Prix,stroll,20.0
2021,Dutch Grand Prix,max_verstappen,1.0
2021,Dutch Grand Prix,hamilton,2.0
2021,Dutch Grand Prix,bottas,3.0
2021,Dutch Grand Prix,gasly,4.0
2021,Dutch Grand Prix,leclerc,5.0
2021,Dutch Grand Prix,alonso,6.0
2021,Dutch Grand Prix,sainz,7.0
2021,Dutch Grand Prix,perez,8.0
2021,Dutch Grand Prix,ocon,9.0
2021,Dutch Grand Prix,norris,10.0
2021,Dutch Grand Prix,ricciardo,11.0
2021,Dutch Grand Prix,stroll,12.0
2021,Dutch Grand Prix,vettel,13.0
2021,Dutch Grand Prix,giovinazzi,14.0
2021,Dutch Grand Prix,kubica,15.0
2021,Dutch Grand Prix,latifi,16.0
2021,Dutch Grand Prix,russell,17.0
2021,Dutch Grand Prix,mick_schumacher,18.0
2021,Dutch Grand Prix,tsunoda,19.0
2021,Dutch Grand Prix,mazepin,20.0
2021,Italian Grand Prix,ricciardo,1.0
2021,Italian Grand Prix,norris,2.0
2021,Italian Grand Prix,bottas,3.0
2021,Italian Grand Prix,leclerc,4.0
2021,Italian Grand Prix,perez,5.0
2021,Italian Grand Prix,sainz,6.0
2021,Italian Grand Prix,stroll,7.0
2021,Italian Grand Prix,alonso,8.0
2021,Italian Grand Prix,russell,9.0
2021,Italian Grand Prix,ocon,10.0
2021,Italian Grand Prix,latifi,11.0
2021,Italian Grand Prix,vettel,12.0
2021,Italian Grand Prix,giovinazzi,13.0
2021,Italian Grand Prix,kubica,14.0
2021,Italian Grand Prix,mick_schumacher,15.0
2021,Italian Grand Prix,mazepin,16.0
2021,Italian Grand Prix,hamilton,17.0
2021,Italian Grand Prix,max_verstappen,18.0
2021,Italian Grand Prix,gasly,19.0
2021,Italian Grand Prix,tsunoda,20.0
2021,Russian Grand Prix,hamilton,1.0
2021,Russian Grand Prix,max_verstappen,2.0
2021,Russian Grand Prix,sainz,3.0
2021,Russian Grand Prix,ricciardo,4.0
2021,Russian Grand Prix,bottas,5.0
2021,Russian Grand Prix,alonso,6.0
2021,Russian Grand Prix,norris,7.0
2021,Russian Grand Prix,raikkonen,8.0
2021,Russian Grand Prix,perez,9.0
2021,Russian Grand Prix,russell,10.0
2021,Russian Grand Prix,stroll,11.0
2021,Russian Grand Prix,vettel,12.0
2021,Russian Grand Prix,gasly,13.0
2021,Russian Grand Prix,ocon,14.0
2021,Russian Grand Prix,leclerc,15.0
2021,Russian Grand Prix,giovinazzi,16.0
2021,Russian Grand Prix,tsunoda,17.0
2021,Russian Grand Prix,mazepin,18.0
2021,Russian Grand Prix,latifi,19.0
2021,Russian Grand Prix,mick_schumacher,20.0
2021,Turkish Grand Prix,bottas,1.0
2021,Turkish Grand Prix,max_verstappen,2.0
2021,Turkish Grand Prix,perez,3.0
2021,Turkish Grand Prix,leclerc,4.0
2021,Turkish Grand Prix,hamilton,5.0
2021,Turkish Grand Prix,gasly,6.0
2021,Turkish Grand Prix,norris,7.0
2021,Turkish Grand Prix,sainz,8.0
2021,Turkish Grand Prix,stroll,9.0
2021,Turkish Grand Prix,ocon,10.0
2021,Turkish Grand Prix,giovinazzi,11.0
2021,Turkish Grand Prix,raikkonen,12.0
2021,Turkish Grand Prix,ricciardo,13.0
2021,Turkish Grand Prix,tsunoda,14.0
2021,Turkish Grand Prix,russell,15.0
2021,Turkish Grand Prix,alonso,16.0
2021,Turkish Grand Prix,latifi,17.0
2021,Turkish Grand Prix,vettel,18.0
2021,Turkish Grand Prix,mick_schumacher,19.0
2021,Turkish Grand Prix,mazepin,20.0
2021,United States Grand Prix,max_verstappen,1.0
2021,United States Grand Prix,hamilton,2.0
2021,United States Grand Prix,perez,3.0
2021,United States Grand Prix,leclerc,4.0
2021,United States Grand Prix,ricciardo,5.0
2021,United States Grand Prix,bottas,6.0
2021,United States Grand Prix,sainz,7.0
2021,United States Grand Prix,norris,8.0
2021,United States Grand Prix,tsunoda,9.0
2021,United States Grand Prix,vettel,10.0
2021,United States Grand Prix,giovinazzi,11.0
2021,United States Grand Prix,stroll,12.0
2021,United States Grand Prix,raikkonen,13.0
2021,United States Grand Prix,russell,14.0
2021,United States Grand Prix,latifi,15.0
2021,United States Grand Prix,mick_schumacher,16.0
2021,United States Grand Prix,mazepin,17.0
2021,United States Grand Prix,alonso,18.0
2021,United States Grand Prix,ocon,19.0
2021,United States Grand Prix,gasly,20.0
2021,Mexico City Grand Prix,max_verstappen,1.0
2021,Mexico City Grand Prix,hamilton,2.0
2021,Mexico City Grand Prix,perez,3.0
2021,Mexico City Grand Prix,gasly,4.0
2021,Mexico City Grand Prix,leclerc,5.0
2021,Mexico City Grand Prix,sainz,6.0
2021,Mexico City Grand Prix,vettel,7.0
2021,Mexico City Grand Prix,raikkonen,8.0
2021,Mexico City Grand Prix,alonso,9.0
2021,Mexico City Grand Prix,norris,10.0
2021,Mexico City Grand Prix,giovinazzi,11.0
2021,Mexico City Grand Prix,ricciardo,12.0
2021,Mexico City Grand Prix,ocon,13.0
2021,Mexico City Grand Prix,stroll,14.0
2021,Mexico City Grand Prix,bottas,15.0
2021,Mexico City Grand Prix,russell,16.0
2021,Mexico City Grand Prix,latifi,17.0
2021,Mexico City Grand Prix,mazepin,18.0
2021,Mexico City Grand Prix,mick_schumacher,19.0
2021,Mexico City Grand Prix,tsunoda,20.0
2021,São Paulo Grand Prix,hamilton,1.0
2021,São Paulo Grand Prix,max_verstappen,2.0
2021,São Paulo Grand Prix,bottas,3.0
2021,São Paulo Grand Prix,perez,4.0
2021,São Paulo Grand Prix,leclerc,5.0
2021,São Paulo Grand Prix,sainz,6.0
2021,São Paulo Grand Prix,gasly,7.0
2021,São Paulo Grand Prix,ocon,8.0
2021,São Paulo Grand Prix,alonso,9.0
2021,São Paulo Grand Prix,norris,10.0
2021,São Paulo Grand Prix,vettel,11.0
2021,São Paulo Grand Prix,raikkonen,12.0
2021,São Paulo Grand Prix,russell,13.0
2021,São Paulo Grand Prix,giovinazzi,14.0
2021,São Paulo Grand Prix,tsunoda,15.0
2021,São Paulo Grand Prix,latifi,16.0
2021,São Paulo Grand Prix,mazepin,17.0
2021,São Paulo Grand Prix,mick_schumacher,18.0
2021,São Paulo Grand Prix,ricciardo,19.0
2021,São Paulo Grand Prix,stroll,20.0
2021,Qatar Grand Prix,hamilton,1.0
2021,Qatar Grand Prix,max_verstappen,2.0
2021,Qatar Grand Prix,alonso,3.0
2021,Qatar Grand Prix,perez,4.0
2021,Qatar Grand Prix,ocon,5.0
2021,Qatar Grand Prix,stroll,6.0
2021,Qatar Grand Prix,sainz,7.0
2021,Qatar Grand Prix,leclerc,8.0
2021,Qatar Grand Prix,norris,9.0
2021,Qatar Grand Prix,vettel,10.0
2021,Qatar Grand Prix,gasly,11.0
2021,Qatar Grand Prix,ricciardo,12.0
2021,Qatar Grand Prix,tsunoda,13.0
2021,Qatar Grand Prix,raikkonen,14.0
2021,Qatar Grand Prix,giovinazzi,15.0
2021,Qatar Grand Prix,mick_schumacher,16.0
2021,Qatar Grand Prix,russell,17.0
2021,Qatar Grand Prix,mazepin,18.0
2021,Qatar Grand Prix,latifi,19.0
2021,Qatar Grand Prix,bottas,20.0
2021,Saudi Arabian Grand Prix,hamilton,1.0
2021,Saudi Arabian Grand Prix,max_verstappen,2.0
2021,Saudi Arabian Grand Prix,bottas,3.0
2021,Saudi Arabian Grand Prix,ocon,4.0
2021,Saudi Arabian Grand Prix,ricciardo,5.0
2021,Saudi Arabian Grand Prix,gasly,6.0
2021,Saudi Arabian Grand Prix,leclerc,7.0
2021,Saudi Arabian Grand Prix,sainz,8.0
2021,Saudi Arabian Grand Prix,giovinazzi,9.0
2021,Saudi Arabian Grand Prix,norris,10.0
2021,Saudi Arabian Grand Prix,stroll,11.0
2021,Saudi Arabian Grand Prix,latifi,12.0
2021,Saudi Arabian Grand Prix,alonso,13.0
2021,Saudi Arabian Grand Prix,tsunoda,14.0
2021,Saudi Arabian Grand Prix,raikkonen,15.0
2021,Saudi Arabian Grand Prix,vettel,16.0
2021,Saudi Arabian Grand Prix,perez,17.0
2021,Saudi Arabian Grand Prix,mazepin,18.0
2021,Saudi Arabian Grand Prix,russell,19.0
2021,Saudi Arabian Grand Prix,mick_schumacher,20.0
2021,Abu Dhabi Grand Prix,max_verstappen,1.0
2021,Abu Dhabi Grand Prix,hamilton,2.0
2021,Abu Dhabi Grand Prix,sainz,3.0
2021,Abu Dhabi Grand Prix,tsunoda,4.0
2021,Abu Dhabi Grand Prix,gasly,5.0
2021,Abu Dhabi Grand Prix,bottas,6.0
2021,Abu Dhabi Grand Prix,norris,7.0
2021,Abu Dhabi Grand Prix,alonso,8.0
2021,Abu Dhabi Grand Prix,ocon,9.0
2021,Abu Dhabi Grand Prix,leclerc,10.0
2021,Abu Dhabi Grand Prix,vettel,11.0
2021,Abu Dhabi Grand Prix,ricciardo,12.0
2021,Abu Dhabi Grand Prix,stroll,13.0
2021,Abu Dhabi Grand Prix,mick_schumacher,14.0
2021,Abu Dhabi Grand Prix,perez,15.0
2021,Abu Dhabi Grand Prix,latifi,16.0
2021,Abu Dhabi Grand Prix,giovinazzi,17.0
2021,Abu Dhabi Grand Prix,russell,18.0
2021,Abu Dhabi Grand Prix,raikkonen,19.0
2021,Abu Dhabi Grand Prix,mazepin,
2022,Pre-Season Track Session,sainz,1.0
2022,Pre-Season Track Session,perez,2.0
2022,Pre-Season Track Session,hamilton,3.0
2022,Pre-Season Track Session,leclerc,4.0
2022,Pre-Season Track Session,alonso,5.0
2022,Pre-Season Track Session,norris,6.0
2022,Pre-Season Track Session,max_verstappen,7.0
2022,Pre-Season Track Session,mick_schumacher,8.0
2022,Pre-Season Track Session,vettel,9.0
2022,Pre-Season Track Session,kevin_magnussen,10.0
2022,Pre-Season Track Session,stroll,11.0
2022,Pre-Season Track Session,latifi,12.0
2022,Pre-Season Track Session,ricciardo,13.0
2022,Pre-Season Track Session,tsunoda,14.0
2022,Pre-Season Track Session,ocon,15.0
2022,Pre-Season Track Session,gasly,16.0
2022,Pre-Season Track Session,bottas,17.0
2022,Pre-Season Track Session,russell,18.0
2022,Pre-Season Track Session,zhou,19.0
2022,Pre-Season Track Session,albon,20.0
2022,Bahrain Grand Prix,leclerc,1.0
2022,Bahrain Grand Prix,sainz,2.0
2022,Bahrain Grand Prix,hamilton,3.0
2022,Bahrain Grand Prix,russell,4.0
2022,Bahrain Grand Prix,kevin_magnussen,5.0
2022,Bahrain Grand Prix,bottas,6.0
2022,Bahrain Grand Prix,ocon,7.0
2022,Bahrain Grand Prix,tsunoda,8.0
2022,Bahrain Grand Prix,alonso,9.0
2022,Bahrain Grand Prix,zhou,10.0
2022,Bahrain Grand Prix,mick_schumacher,11.0
2022,Bahrain Grand Prix,stroll,12.0
2022,Bahrain Grand Prix,albon,13.0
2022,Bahrain Grand Prix,ricciardo,14.0
2022,Bahrain Grand Prix,norris,15.0
2022,Bahrain Grand Prix,latifi,16.0
2022,Bahrain Grand Prix,hulkenberg,17.0
2022,Bahrain Grand Prix,perez,18.0
2022,Bahrain Grand Prix,max_verstappen,19.0
2022,Bahrain Grand Prix,gasly,20.0
2022,Saudi Arabian Grand Prix,max_verstappen,1.0
2022,Saudi Arabian Grand Prix,leclerc,2.0
2022,Saudi Arabian Grand Prix,sainz,3.0
2022,Saudi Arabian Grand Prix,perez,4.0
2022,Saudi Arabian Grand Prix,russell,5.0
2022,Saudi Arabian Grand Prix,ocon,6.0
2022,Saudi Arabian Grand Prix,norris,7.0
2022,Saudi Arabian Grand Prix,gasly,8.0
2022,Saudi Arabian Grand Prix,kevin_magnussen,9.0
2022,Saudi Arabian Grand Prix,hamilton,10.0
2022,Saudi Arabian Grand Prix,zhou,11.0
2022,Saudi Arabian Grand Prix,hulkenberg,12.0
2022,Saudi Arabian Grand Prix,stroll,13.0
2022,Saudi Arabian Grand Prix,albon,14.0
2022,Saudi Arabian Grand Prix,bottas,15.0
2022,Saudi Arabian Grand Prix,alonso,16.0
2022,Saudi Arabian Grand Prix,ricciardo,17.0
2022,Saudi Arabian Grand Prix,latifi,18.0
2022,Saudi Arabian Grand Prix,tsunoda,19.0
2022,Saudi Arabian Grand Prix,mick_schumacher,
2022,Australian Grand Prix,leclerc,1.0
2022,Australian Grand Prix,perez,2.0
2022,Australian Grand Prix,russell,3.0
2022,Australian Grand Prix,hamilton,4.0
2022,Australian Grand Prix,norris,5.0
2022,Australian Grand Prix,ricciardo,6.0
2022,Australian Grand Prix,ocon,7.0
2022,Australian Grand Prix,bottas,8.0
2022,Australian Grand Prix,gasly,9.0
2022,Australian Grand Prix,albon,10.0
2022,Australian Grand Prix,zhou,11.0
2022,Australian Grand Prix,stroll,12.0
2022,Australian Grand Prix,mick_schumacher,13.0
2022,Australian Grand Prix,kevin_magnussen,14.0
2022,Australian Grand Prix,tsunoda,15.0
2022,Australian Grand Prix,latifi,16.0
2022,Australian Grand Prix,alonso,17.0
2022,Australian Grand Prix,max_verstappen,18.0
2022,Australian Grand Prix,vettel,19.0
2022,Australian Grand Prix,sainz,20.0
2022,Emilia Romagna Grand Prix,max_verstappen,1.0
2022,Emilia Romagna Grand Prix,perez,2.0
2022,Emilia Romagna Grand Prix,norris,3.0
2022,Emilia Romagna Grand Prix,russell,4.0
2022,Emilia Romagna Grand Prix,bottas,5.0
2022,Emilia Romagna Grand Prix,leclerc,6.0
2022,Emilia Romagna Grand Prix,tsunoda,7.0
2022,Emilia Romagna Grand Prix,vettel,8.0
2022,Emilia Romagna Grand Prix,kevin_magnussen,9.0
2022,Emilia Romagna Grand Prix,stroll,10.0
2022,Emilia Romagna Grand Prix,albon,11.0
2022,Emilia Romagna Grand Prix,gasly,12.0
2022,Emilia Romagna Grand Prix,hamilton,13.0
2022,Emilia Romagna Grand Prix,ocon,14.0
2022,Emilia Romagna Grand Prix,zhou,15.0
2022,Emilia Romagna Grand Prix,latifi,16.0
2022,Emilia Romagna Grand Prix,mick_schumacher,17.0
2022,Emilia Romagna Grand Prix,ricciardo,18.0
2022,Emilia Romagna Grand Prix,alonso,19.0
2022,Emilia Romagna Grand Prix,sainz,20.0
2022,Miami Grand Prix,max_verstappen,1.0
2022,Miami Grand Prix,leclerc,2.0
2022,Miami Grand Prix,sainz,3.0
2022,Miami Grand Prix,perez,4.0
2022,Miami Grand Prix,russell,5.0
2022,Miami Grand Prix,hamilton,6.0
2022,Miami Grand Prix,bottas,7.0
2022,Miami Grand Prix,ocon,8.0
2022,Miami Grand Prix,albon,9.0
2022,Miami Grand Prix,stroll,10.0
2022,Miami Grand Prix,alonso,11.0
2022,Miami Grand Prix,tsunoda,12.0
2022,Miami Grand Prix,ricciardo,13.0
2022,Miami Grand Prix,latifi,14.0
2022,Miami Grand Prix,mick_schumacher,15.0
2022,Miami Grand Prix,kevin_magnussen,16.0
2022,Miami Grand Prix,vettel,17.0
2022,Miami Grand Prix,gasly,18.0
2022,Miami Grand Prix,norris,19.0
2022,Miami Grand Prix,zhou,20.0
2022,Spanish Grand Prix,max_verstappen,1.0
2022,Spanish Grand Prix,perez,2.0
2022,Spanish Grand Prix,russell,3.0
2022,Spanish Grand Prix,sainz,4.0
2022,Spanish Grand Prix,hamilton,5.0
2022,Spanish Grand Prix,bottas,6.0
2022,Spanish Grand Prix,ocon,7.0
2022,Spanish Grand Prix,norris,8.0
2022,Spanish Grand Prix,alonso,9.0
2022,Spanish Grand Prix,tsunoda,10.0
2022,Spanish Grand Prix,vettel,11.0
2022,Spanish Grand Prix,ricciardo,12.0
2022,Spanish Grand Prix,gasly,13.0
2022,Spanish Grand Prix,mick_schumacher,14.0
2022,Spanish Grand Prix,stroll,15.0
2022,Spanish Grand Prix,latifi,16.0
2022,Spanish Grand Prix,kevin_magnussen,17.0
2022,Spanish Grand Prix,albon,18.0
2022,Spanish Grand Prix,zhou,19.0
2022,Spanish Grand Prix,leclerc,20.0
2022,Monaco Grand Prix,perez,1.0
2022,Monaco Grand Prix,sainz,2.0
2022,Monaco Grand Prix,max_verstappen,3.0
2022,Monaco Grand Prix,leclerc,4.0
2022,Monaco Grand Prix,russell,5.0
2022,Monaco Grand Prix,norris,6.0
2022,Monaco Grand Prix,alonso,7.0
2022,Monaco Grand Prix,hamilton,8.0
2022,Monaco Grand Prix,bottas,9.0
2022,Monaco Grand Prix,vettel,10.0
2022,Monaco Grand Prix,gasly,11.0
2022,Monaco Grand Prix,ocon,12.0
2022,Monaco Grand Prix,ricciardo,13.0
2022,Monaco Grand Prix,stroll,14.0
2022,Monaco Grand Prix,latifi,15.0
2022,Monaco Grand Prix,zhou,16.0
2022,Monaco Grand Prix,tsunoda,17.0
2022,Monaco Grand Prix,albon,18.0
