Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Portuguese Grand Prix,russell,80.127,94.90957971014493,79.797,79.109,,11.0,11.0,16.0
2021,Portuguese Grand Prix,bottas,78.82,89.59244776119404,78.722,78.458,78.348,1.0,1.0,3.0
2021,Portuguese Grand Prix,,81.806,89.15266666666668,,,,,,
2021,Portuguese Grand Prix,giovinazzi,79.588,93.29642857142856,79.41,79.216,,12.0,12.0,12.0
2021,Spanish Grand Prix,ricciardo,78.582,94.4863606557377,78.264,77.719,77.622,7.0,7.0,6.0
2021,Spanish Grand Prix,norris,78.494,96.28551785714284,77.821,77.696,78.01,9.0,9.0,8.0
2021,Spanish Grand Prix,vettel,78.947,93.13404761904762,78.289,78.079,,13.0,13.0,13.0
2021,Spanish Grand Prix,latifi,79.392,98.82020689655172,79.219,,,19.0,19.0,16.0
2021,Spanish Grand Prix,mazepin,80.237,97.94512727272728,79.807,,,20.0,20.0,19.0
2021,Spanish Grand Prix,gasly,78.535,94.7308,78.19,77.982,,12.0,12.0,10.0
2021,Spanish Grand Prix,perez,78.606,97.75712765957446,78.203,77.669,77.701,8.0,8.0,5.0
2021,Spanish Grand Prix,alonso,78.518,90.65785483870968,78.281,77.966,78.147,10.0,10.0,17.0
2021,Spanish Grand Prix,leclerc,78.308,92.52908620689657,78.041,77.717,77.51,4.0,4.0,4.0
2021,Spanish Grand Prix,stroll,78.877,94.2335238095238,78.241,77.974,,11.0,11.0,11.0
2021,Spanish Grand Prix,tsunoda,78.619,95.58835483870968,78.556,,,16.0,16.0,20.0
2021,Spanish Grand Prix,ocon,78.466,94.05311475409836,78.281,77.743,77.58,5.0,5.0,9.0
2021,Spanish Grand Prix,max_verstappen,77.835,94.99920833333334,78.09,76.922,76.777,2.0,2.0,2.0
2021,Spanish Grand Prix,hamilton,78.07,94.43250877192985,78.245,77.166,76.741,1.0,1.0,1.0
2021,Spanish Grand Prix,,80.7,92.58675,,,,,,
2021,Spanish Grand Prix,mick_schumacher,79.999,96.74656451612904,79.117,,,18.0,18.0,18.0
2021,Spanish Grand Prix,sainz,78.41,96.84824590163934,78.205,77.656,77.62,6.0,6.0,7.0
2021,Spanish Grand Prix,bottas,78.309,96.38303278688524,78.005,77.142,76.873,3.0,3.0,3.0
2021,Spanish Grand Prix,,81.887,97.83655555555556,,,,,,
2021,Spanish Grand Prix,giovinazzi,79.122,96.4155081967213,78.549,78.356,,14.0,14.0,15.0
2021,Spanish Grand Prix,raikkonen,78.597,96.07784615384617,78.917,,,17.0,17.0,12.0
2021,Spanish Grand Prix,russell,79.005,98.69748717948718,78.445,79.154,,15.0,15.0,14.0
2021,Monaco Grand Prix,ricciardo,72.959,83.85885897435898,71.747,71.598,,12.0,12.0,12.0
2021,Monaco Grand Prix,norris,71.988,84.28316666666667,71.321,71.031,70.62,5.0,5.0,3.0
2021,Monaco Grand Prix,vettel,72.537,84.83237837837838,72.078,71.309,71.419,8.0,8.0,5.0
2021,Monaco Grand Prix,latifi,73.475,85.42110344827587,72.366,,,18.0,18.0,15.0
2021,Monaco Grand Prix,raikkonen,72.298,83.18905128205128,71.899,71.642,,14.0,14.0,11.0
2021,Monaco Grand Prix,mazepin,73.39,86.75875714285715,72.958,,,19.0,19.0,17.0
2021,Monaco Grand Prix,gasly,72.357,84.10264285714285,71.56,71.179,70.9,6.0,6.0,6.0
2021,Monaco Grand Prix,perez,71.817,85.66984507042254,71.644,71.019,71.573,9.0,9.0,4.0
2021,Monaco Grand Prix,alonso,73.175,84.03012,72.205,,,17.0,17.0,13.0
2021,Monaco Grand Prix,leclerc,71.552,87.14387037037038,71.113,70.597,70.346,1.0,1.0,20.0
2021,Monaco Grand Prix,stroll,72.7,85.98963888888889,71.979,71.6,,13.0,13.0,8.0
2021,Monaco Grand Prix,tsunoda,73.522,83.33817808219177,72.096,,,16.0,16.0,16.0
2021,Monaco Grand Prix,ocon,73.199,82.58655844155844,71.74,71.486,,11.0,11.0,9.0
2021,Monaco Grand Prix,max_verstappen,71.294,85.22196153846154,71.124,70.65,70.576,2.0,2.0,1.0
2021,Monaco Grand Prix,hamilton,72.02,84.93091666666666,71.622,71.116,71.095,7.0,7.0,7.0
2021,Monaco Grand Prix,mick_schumacher,73.139,86.71652777777778,,,,,20.0,18.0
2021,Monaco Grand Prix,sainz,71.341,86.8140243902439,71.324,70.806,70.611,4.0,4.0,2.0
2021,Monaco Grand Prix,russell,73.447,83.50623863636363,72.016,71.83,,15.0,15.0,14.0
2021,Monaco Grand Prix,bottas,71.765,83.71041249999999,70.938,70.695,70.601,3.0,3.0,19.0
2021,Monaco Grand Prix,giovinazzi,72.539,82.95998507462687,71.658,71.409,71.779,10.0,10.0,10.0
2021,Azerbaijan Grand Prix,ricciardo,103.298,116.29573076923076,102.304,102.558,,13.0,13.0,9.0
2021,Azerbaijan Grand Prix,norris,103.011,116.9358775510204,102.167,101.813,101.747,6.0,9.0,5.0
2021,Azerbaijan Grand Prix,vettel,103.585,117.36226086956522,102.46,102.224,,11.0,11.0,2.0
2021,Azerbaijan Grand Prix,latifi,104.054,125.09379411764706,103.128,,,16.0,16.0,16.0
2021,Azerbaijan Grand Prix,raikkonen,103.22,120.01036585365854,102.923,102.587,,14.0,14.0,10.0
2021,Azerbaijan Grand Prix,mazepin,105.563,117.85694871794873,104.238,,,18.0,18.0,14.0
2021,Azerbaijan Grand Prix,gasly,102.251,117.56455102040816,102.288,101.932,101.565,4.0,4.0,3.0
2021,Azerbaijan Grand Prix,perez,102.115,117.30733333333332,101.968,101.63,101.917,7.0,6.0,1.0
2021,Azerbaijan Grand Prix,alonso,102.693,116.2904705882353,102.934,102.195,102.327,9.0,8.0,6.0
2021,Azerbaijan Grand Prix,leclerc,102.436,118.81368292682926,102.241,101.659,101.218,1.0,1.0,4.0
2021,Azerbaijan Grand Prix,stroll,103.682,117.71375,,,,19.0,19.0,19.0
2021,Azerbaijan Grand Prix,tsunoda,103.13,119.02898245614035,102.521,101.654,102.211,8.0,7.0,7.0
2021,Azerbaijan Grand Prix,ocon,103.02,116.78816326530612,102.426,102.273,,12.0,12.0,20.0
2021,Azerbaijan Grand Prix,max_verstappen,102.216,117.4532564102564,101.76,101.625,101.563,3.0,3.0,18.0
2021,Azerbaijan Grand Prix,hamilton,102.697,114.447,101.545,101.634,101.45,2.0,2.0,15.0
2021,Azerbaijan Grand Prix,mick_schumacher,105.282,119.30888235294115,104.158,,,17.0,17.0,13.0
2021,Azerbaijan Grand Prix,sainz,102.243,117.478175,102.121,101.74,101.576,5.0,5.0,8.0
2021,Azerbaijan Grand Prix,russell,104.434,118.78402127659577,102.728,102.758,,15.0,15.0,17.0
2021,Azerbaijan Grand Prix,bottas,103.745,118.8695625,102.701,102.106,102.659,10.0,10.0,12.0
2021,Azerbaijan Grand Prix,giovinazzi,102.941,119.2732619047619,,,,20.0,20.0,11.0
2021,French Grand Prix,ricciardo,92.759,113.273875,92.181,91.615,91.382,10.0,10.0,6.0
2021,French Grand Prix,norris,92.336,114.00967391304349,91.733,91.542,91.252,8.0,8.0,5.0
2021,French Grand Prix,vettel,93.2,111.78593333333332,92.132,91.767,,12.0,12.0,9.0
2021,French Grand Prix,latifi,93.584,112.69884,93.062,,,16.0,16.0,18.0
2021,French Grand Prix,raikkonen,93.328,110.35907894736845,93.354,,,17.0,17.0,17.0
2021,French Grand Prix,mazepin,94.642,113.0911304347826,93.554,,,18.0,18.0,20.0
2021,French Grand Prix,gasly,92.707,112.58669565217392,91.898,91.353,90.868,6.0,6.0,7.0
2021,French Grand Prix,perez,92.238,111.53792,91.56,90.971,90.445,4.0,4.0,3.0
2021,French Grand Prix,alonso,92.624,109.2949761904762,92.158,91.549,91.34,9.0,9.0,8.0
2021,French Grand Prix,leclerc,92.82,109.62785714285714,92.209,91.567,90.987,7.0,7.0,16.0
2021,French Grand Prix,stroll,93.051,112.061625,,,,19.0,19.0,10.0
2021,French Grand Prix,tsunoda,92.9,116.05724,,,,20.0,0.0,13.0
2021,French Grand Prix,ocon,92.681,110.72855555555556,92.139,91.736,,11.0,11.0,14.0
2021,French Grand Prix,max_verstappen,91.3,111.69906521739132,91.001,91.08,89.99,1.0,1.0,1.0
2021,French Grand Prix,hamilton,92.266,108.2883953488372,91.237,90.788,90.248,2.0,2.0,2.0
2021,French Grand Prix,,97.881,115.508,,,,,,
2021,French Grand Prix,mick_schumacher,94.143,112.71068421052632,92.942,,,15.0,15.0,19.0
2021,French Grand Prix,sainz,92.195,110.5658,92.079,91.146,90.84,5.0,5.0,11.0
2021,French Grand Prix,bottas,92.047,109.14114285714288,91.669,90.735,90.376,3.0,3.0,4.0
2021,French Grand Prix,giovinazzi,93.017,110.12064285714284,92.722,91.813,,13.0,13.0,15.0
2021,French Grand Prix,russell,93.364,111.22558064516129,93.06,92.065,,14.0,14.0,12.0
2021,Styrian Grand Prix,ricciardo,65.748,80.48476190476191,65.142,64.808,,13.0,13.0,13.0
2021,Styrian Grand Prix,norris,65.228,80.04697619047619,64.584,64.298,64.12,4.0,3.0,5.0
2021,Styrian Grand Prix,vettel,65.492,79.33255696202532,65.051,64.875,,14.0,14.0,12.0
2021,Styrian Grand Prix,latifi,66.119,80.98201369863014,65.175,,,16.0,16.0,17.0
2021,Styrian Grand Prix,mazepin,66.692,83.60737499999999,66.192,,,20.0,20.0,18.0
2021,Styrian Grand Prix,gasly,65.298,85.05029166666667,64.765,64.429,64.236,6.0,6.0,20.0
2021,Styrian Grand Prix,perez,65.026,81.88738271604937,64.638,64.197,64.168,5.0,4.0,4.0
2021,Styrian Grand Prix,alonso,65.4,80.44123595505619,64.971,64.582,64.574,9.0,8.0,9.0
2021,Styrian Grand Prix,leclerc,65.34,83.1009540229885,64.745,64.646,64.472,7.0,7.0,7.0
2021,Styrian Grand Prix,stroll,65.445,79.45863157894736,64.821,64.663,64.708,10.0,9.0,8.0
2021,Styrian Grand Prix,tsunoda,65.15,81.89848314606742,64.608,64.631,64.514,8.0,11.0,10.0
2021,Styrian Grand Prix,ocon,65.676,83.56149397590362,65.217,,,17.0,17.0,14.0
2021,Styrian Grand Prix,max_verstappen,64.57,80.64953164556962,64.489,64.433,63.841,1.0,1.0,1.0
2021,Styrian Grand Prix,hamilton,64.369,85.89234666666667,64.672,64.512,64.067,3.0,2.0,2.0
2021,Styrian Grand Prix,mick_schumacher,65.992,83.44594444444445,66.041,,,19.0,19.0,16.0
2021,Styrian Grand Prix,sainz,65.698,83.6652380952381,64.859,64.8,,12.0,12.0,6.0
2021,Styrian Grand Prix,russell,65.863,81.85572619047619,65.033,64.671,,11.0,10.0,19.0
2021,Styrian Grand Prix,bottas,64.832,80.793,64.537,64.443,64.035,2.0,5.0,3.0
2021,Styrian Grand Prix,,67.823,88.53233333333334,,,,,,
2021,Styrian Grand Prix,giovinazzi,65.556,86.36401219512196,65.092,64.913,,15.0,15.0,15.0
2021,Styrian Grand Prix,raikkonen,65.942,83.76626666666667,65.429,,,18.0,18.0,11.0
2021,Austrian Grand Prix,ricciardo,65.698,80.92829166666667,64.977,64.719,,13.0,13.0,7.0
2021,Austrian Grand Prix,norris,65.466,80.79398630136987,64.345,64.415,63.768,2.0,2.0,3.0
